Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Species Comments,Checklist Comments
S58578634,Paradise Shelduck,Tadorna variegata,371,2,NZ-MWT,Manawatu District,"77–211 Green Road, Awahuri NZ-Manawatu-Wanganui (-40.2785,175.5061)",-40.278477,175.506146,2019-07-31,11:35 AM,eBird - Casual Observation,,0,,,1
S58065044,Paradise Shelduck,Tadorna variegata,371,2,NZ-MWT,Manawatu District,"781 Rangitikei Line, Newbury NZ-Manawatu-Wanganui (-40.3244,175.5798)",-40.324373,175.579821,2019-07-10,02:19 PM,eBird - Stationary Count,5,1,,,1
S58507393,Paradise Shelduck,Tadorna variegata,371,2,NZ-MWT,Manawatu District,"Almadale Picnic Reserve, Almadale Road, Colyton NZ-Manawatu-Wanganui",-40.172984,175.657986,2019-07-28,11:29 AM,eBird - Stationary Count,11,1,,,2
S58349093,Paradise Shelduck,Tadorna variegata,371,2,NZ-MWT,Manawatu District,"Apiti Road, Kimbolton NZ-Manawatu-Wanganui (-40.0251,175.8069)",-40.025092,175.806895,2019-07-21,12:50 PM,eBird - Stationary Count,11,1,,,2
S58349101,Paradise Shelduck,Tadorna variegata,371,2,NZ-MWT,Manawatu District,"Cheltenham School, Cheltenham NZ-Manawatu-Wanganui",-40.136168,175.658566,2019-07-21,10:46 AM,eBird - Stationary Count,25,1,,,2
S58476230,Paradise Shelduck,Tadorna variegata,371,5,NZ-MWT,Manawatu District,"Corner of Ngaio Rd & Mt Stewart Halcombe Road, Halcombe NZ-Manawatu-Wanganui",-40.193051,175.475124,2019-07-27,08:54 AM,eBird - Stationary Count,17,1,,,2
S58896697,Paradise Shelduck,Tadorna variegata,371,7,NZ-MWT,Manawatu District,"Napier Road, Ashhurst NZ-Manawatu-Wanganui (-40.3058,175.7583)",-40.305832,175.758342,2019-08-11,11:10 AM,eBird - Stationary Count,13,1,,,2,,,River bed under Manawatu River bridge at Ashhurst
S58150413,Paradise Shelduck,Tadorna variegata,371,2,NZ-MWT,Manawatu District,"North of Glen Oroua School, Glen Oroua NZ-Manawatu-Wanganui",-40.329219,175.41318,2019-07-06,09:36 AM,eBird - Traveling Count,3,1,2,,2
S58349094,Paradise Shelduck,Tadorna variegata,371,2,NZ-MWT,Manawatu District,"Oroua Valley Road, Kimbolton NZ-Manawatu-Wanganui",-40.028343,175.832676,2019-07-21,12:18 PM,eBird - Stationary Count,20,1,,,2
S58507403,Paradise Shelduck,Tadorna variegata,371,1,NZ-MWT,Manawatu District,"Overlooking Bush Remnant, 187 Waituna Tapuae Road, Waituna West NZ-Manawatu-Wanganui",-40.030343,175.66192,2019-07-28,10:26 AM,eBird - Stationary Count,14,1,,,2
